Title,Basic Facts,Recent News
Foreign Policy ,"The foreign policy of the United States is its interactions with foreign nations and how it sets standards of interaction for its organizations, corporations and system citizens of the United States.

The officially stated goals of the foreign policy of the United States, including all the Bureaus and Offices in the United States Department of State,[1] as mentioned in the Foreign Policy Agenda of the Department of State, are ""to build and sustain a more democratic, secure, and prosperous world for the benefit of the American people and the international community""",Japan and South Korea continue a historic dispute while Turkey exits the F-35 program amid tensions with the United States. A political program that does not envision statehood for the Palestinians could reverse the Gulf Arab states’ tentative warming toward Israel. A political program that does not envision statehood for the Palestinians could reverse the Gulf Arab states’ tentative warming toward Israel.
Free Trade,"Beginning with the Theodore Roosevelt administration, the United States became a major player in international trade, especially with its neighboring territories in the Caribbean and Latin America. Today, the United States has become a leader of the free trade movement, standing behind groups such as the General Agreement on Tariffs and Trade (later the World Trade Organization).","Free trade increases access to higher-quality, lower-priced goods. ...
Free trade means more growth. ...
Free trade improves efficiency and innovation. ...
Free trade drives competitiveness. ...
Free trade promotes fairness."
Government Reform ,"Government reform means the improvement or amendment of what is wrong, corrupt, unsatisfactory, etc. ... Reform seeks to improve the system as it stands, never to overthrow it wholesale.","Partisanship and ideology tends to be the manner in which we group Americans as we approach an election. Yet, this paper suggests that talking about what government does and how well it can deliver on its promises may be a powerful message to Americans who are looking for something different. In that sense, while some voters may want to Make America Great Again, many simply want to grow the federal government and make it functional again."
Gun Control ,Proponents of increased gun control in the United States argue that limiting access to guns will save lives and reduce crime; opponents insist that it would actually do the opposite by preventing law-abiding citizens from defending themselves against armed criminals.,"Though regulations vary from state to state, there are a few key conditions for obtaining guns in the US. The Gun Control Act of 1968 (GCA), which regulates firearms at the federal level, requires that citizens and legal residents must be at least 18 years of age to purchase shotguns or rifles and ammunition."
Health Care ," Health care facilities are largely owned and operated by private sector businesses. 58% of US community hospitals are non-profit, 21% are government owned, and 21% are for-profit.[2] ","According to the World Health Organization (WHO), the United States spent $9,403 on health care per capita, and 17.1% on health care as percentage of its GDP in 2014. Healthcare coverage is provided through a combination of private health insurance and public health coverage (e.g., Medicare, Medicaid). The United States does not have a universal healthcare program, unlike other advanced industrialized countries"
Homeland Security ,"According to the World Health Organization (WHO), the United States spent $9,403 on health care per capita, and 17.1% on health care as percentage of its GDP in 2014. Healthcare coverage is provided through a combination of private health insurance and public health coverage (e.g., Medicare, Medicaid). The United States does not have a universal healthcare program, unlike other advanced industrialized countries","Terrorist groups continue to inspire, enable and direct their followers to spread chaos using homemade weapons and by striking soft targets and crowded places. They also remain focused on conducting more sophisticated attacks using conventional weapons as well as new technologies and tactics. DHS is committed to staying a step ahead of our enemies, and an informed and vigilant public remains one of the Department’s greatest assets in protecting the homeland."
Immigration ,The Immigrant Visa Process. Foreign citizens who want to live permanently in the United States must first obtain an immigrant visa. This is the first step to becoming a lawful permanent resident. Immigrating to the United States is an important and complex decision.,"Today, 57% of Republicans say that if the U.S. is too open to people from around the world, “we risk losing our identity as a nation.” Many South Africans are dissatisfied with the state of their democracy. Confidence in some civic institutions declined from 1990 to 2013. Majorities in top migrant destination countries say immigrants strengthen their countries. Yet publics are divided on immigrants' willingness to adopt their host country's customs."
Infrastructure & Technology ,"America’s deficient roads, bridges and transit systems bring tangible economic consequences to U.S. businesses, with ramifications acutely felt in every household as well. And these effects will continue to grow unless the nation pumps significant investment into its crumbling transportation infrastructure. By 2020, businesses will pay $430 billion in increased transportation costs. U.S. exports will shrink to the tune of $28 billion annually, and inpidual household incomes would experience a related hit, with a $7,000 annual reduction predicted. ","America’s infrastructure is at a crisis point, as illustrated by the Interstate 35W bridge collapse in Minneapolis on Aug. 1, 2007. During that Wednesday evening’s rush hour, the bridge spanning the Mississippi River suddenly gave way, killing 13 people and injuring 145. "
Jobs ,"Will the policy make a real difference in job creation in the next 24 months?
Is the policy effective and efficient?
How is the policy funded?
Is the policy at the appropriate scale to produce a substantial number of jobs?","For 17 years leading up to the collapse, reports cited structural problems with the bridge, and the federal government rated it as “structurally deficient” — a rating given to approximately 75,000 other U.S. bridges in 2007."
Principles & Values ,"Achievement, efficiency, material comfort, nationalism, equality and the supremacy of science and reason, over faith. There are certain ideals and values, rooted in the country’s history, which many Americans share. These are: FREEDOM, INDIVIDUALISM, PRAGMATISM, VOLUNTEERISM, MOBILITY, PATRIOTISM, PROGRESS, AMERICAN DREAM.","As we mark fifty years since the Apollo 11 mission landed Americans on the Moon, capturing the imagination of the world, our Nation is again on the verge of a new bold era in science and technology. Breakthroughs in medicine, communications, transportation, physics, engineering, biology, and many other fields, will help tackle the greatest challenges of our time and allow Americans to live safer, healthier, and more economically prosperous lives."
Social Security ,"Social Security is the foundation of economic security for millions of Americans—retirees, disabled persons, and families of retired, disabled or deceased workers. About 169 million Americans pay Social Security taxes and 61 million collect monthly benefits. About one family in four receives income from Social Security.","The average monthly Social Security benefit in June 2017 was: $1,391 a month for retired workers;
$1,3071 a month for widows or widowers over the age of 60;
$1,172 a month for disabled workers;
$2,278 a month for a disabled worker and a spouse;
$2,664 a month for a widowed mother and two children."
Tax Reform ,"American businesses will become more competitive around the world. The business community has long called for lower rates for all businesses, full and immediate expensing, and a territorial tax system because we know these elements are the pro-growth reforms our economy needs to thrive… Our country will reap the benefits of this once-in-a-generation achievement for years to come.",
War & Peace ,"Given the contentious debate that continues to surround America’s involvement in Vietnam, now fifty years after Lyndon Johnson’s fateful decision to send ground combat troops to Southeast Asia, commenting on the future of warfare obliges conjecture without much evidence. Yet for uniformed officers considering strategic issues and the use of military force, these questions surely are as sensible as they are unavoidable","$1,391 a month for retired workers;"
Welfare & Poverty,"The United States is considered the richest country in the world, and yet millions of its residents live in poverty. Poverty is measured in two ways – absolute poverty and relative poverty. Absolute poverty looks at the goods and services someone (or a family) cannot obtain. Relative poverty looks at the context of the need, how one social group compares to others.","$1,3071 a month for widows or widowers over the age of 60;"
,,"$1,172 a month for disabled workers;"
,,"$2,278 a month for a disabled worker and a spouse;"
,,"$2,664 a month for a widowed mother and two children."
